,title,media,time,host
0,"&#39;옥탑방 문제아들&#39; 김희철, 섭외 지분 경쟁 사연의 내막",이코노미톡뉴스,2019.07.01.,
1,"강지영 아나운서는 누구? 나이 서른 두살 부산출신, 부친은 대구지방국세청장...얼굴이 발그스레 홍조!",폴리뉴스,2019.07.01.,
2,"‘우리 집에 왜 왔니’, 박찬호 투머치토커 비화도 투머치?...”(귀에)피 안날 정도까지만 할게”",국제신문,2019.07.01.,
3,&lt;우리집에 왜왔니&gt;박찬호 &#39;투머치토커&#39; 탄생 비화 공개! 박진감 넘치는 투머치 홈파티 현장,금강일보,2019.07.01.,
4,"한화큐셀, 태양광 연구인력 육성 산학협력 진행",투데이에너지,2019.07.01.,
5,"한화큐셀, 기술경쟁력 강화 목표 대학교와 &#39;맞손&#39;",EBN,2019.07.01.,
6,"한화큐셀, 기술 강화 위해 태양광 연계 대학원들과 산학협력",스포츠서울,2019.07.01.,네이버뉴스
7,"&#39;우리집에 왜왔니&#39; 박찬호, 투머치토커의 입담 폭발(ft.딸 셋 아빠)",헤럴드POP,2019.07.01.,네이버뉴스
8,"[TV북마크] ‘우리집에 왜왔니’, ‘투머치토커’ 박찬호 입담 폭발",스포츠동아,2019.07.01.,네이버뉴스
9,[인사] 기상청,뉴스1,2019.07.01.,네이버뉴스
10,[인사] 기상청,뉴스1,2019.07.01.,네이버뉴스
11,"한화큐셀, 고려대·성균관대·서울대 대학원과 산학협력 진행",아시아투데이,2019.07.01.,
12,"&#39;우리집에 왜왔니&#39; 박찬호, 투머치토커 입담 폭발!(Feat. 딸 셋 아빠)",광주매일신문,2019.07.01.,
13,"한화큐셀, 고려대·성균관대·서울대 대학원과 산학협력 진행",아시아타임즈,2019.07.01.,
14,"한화큐셀, 고려대·성균관대·서울대와 태양광 연구인력 육성 ‘맞손’",데일리안,2019.07.01.,네이버뉴스
15,"한화큐셀-고려대, 태양광 인재 양성 위해 힘 모은다",녹색경제신문,2019.07.01.,
16,"박찬호 논란해명, &quot;먹튀? 주니까 먹었을 뿐&quot;",머니S,2019.07.01.,네이버뉴스
17,‘우리집에 왜왔니’ 투머치토커 박찬호의 입담 폭발,국민일보,2019.07.01.,네이버뉴스
18,"한화큐셀, 고대에 에너지시스템공학과 만든다",연합인포맥스,2019.07.01.,
19,"한화큐셀, 태양광 연구인력 육성 위해 대학원 산학협력 진행",브릿지경제,2019.07.01.,
20,"태양광 미래인력 확보 나선다… 한화큐셀, 학계와 협력",이코노믹리뷰,2019.07.01.,
21,"한화큐셀-고려대 대학원, &#39;에너지시스템공학과&#39; 설립 MOU 체결",아시아경제,2019.07.01.,네이버뉴스
22,"박찬호 논란해명, 먹튀 논란에 &quot;죽고 싶었다&quot;",충청리뷰,2019.07.01.,
