,title,media,time,host
0,"&#39;미운 우리 새끼&#39;(미우새) 쯔양, 인스타 속 아프리카 TV 먹방 BJ의 이국적 비주얼 ",톱스타뉴스,2019.10.01.,
1,"은퇴설 해명, 형님에서도 그러더니라고 머쓱해 했다",말산업저널,2019.10.01.,
2,몰랐다고 덧붙여 웃음을 자아냈다 김희철,경남데일리,2019.10.01.,
3,&quot;김희철&quot; 정준하는 그땐 무한도전이 꽤 오래 갈 줄!,한국스포츠통신,2019.10.01.,
4,정준하는 또 깐족댄다 아는 형님에서도 그러더니라고 머쓱해?? &#39;은퇴설 해명&#39;,광명지역신문,2019.10.01.,
5,[2019 위아자] 효리 ‘더플백’ 강호동 ‘힙합모’ 박찬일·박준우 ‘셰프 장비’,중앙일보,"<span class=""newspaper"">A18면1단</span>",네이버뉴스
6,‘아는 형님’ 매력의 많은 전학생들이 합세한다,폴리뉴스,2019.10.01.,
7,“무한도전” 어디서 베낀 거냐고!,키즈TV,2019.10.01.,
8,어디서 베낀 거냐고! 은퇴설 해명,sbn뉴스,2019.10.01.,
9,˝미운 우리 새끼˝ 모벤져스는 버선발로 그를…?,충청매일,2019.10.01.,
10,˝미운 우리 새끼˝ 모벤져스는 버선발로 그를…?,충청매일,2019.10.01.,
11,하객들의 관심을 한몸에 받았다 &quot;미운우리새끼&quot;,인천일보,2019.10.01.,
12,"&#39;금연 10년&#39; 방송인 김희철, 건보공단 금연치료 홍보",데일리팜,2019.10.01.,
13,"정의선, 자율주행차 승부수…2조원 투자해 2022년 상용화 外",한경비즈니스,2019.10.01.,네이버뉴스
14,&#39;아는형님&#39; 승부욕 넘치는 모습을 보여줬다?,농기자재신문,2019.10.01.,
15,"한국전기공사협회 인천광역시회, 제20회 인천 전기인 체육대회 개최",인천일보,2019.10.01.,
16,"[★픽] &#39;아는 형님&#39; 남궁민 여자친구 진아름, 도발적인 런웨이로 분위기 &#39;후끈&#39;",톱스타뉴스,2019.10.01.,
17,박규리 연인 송자호 동원건설 장손 누구? &quot;母 반대에도 미술&quot;,이데일리,2019.10.01.,네이버뉴스
18,"‘3개월째♥’ 박규리, 남친 송자호 큐레이터 누구? ‘김희철 절친’",세계일보,2019.10.01.,네이버뉴스
19,"박규리, 7세 연하 동원건설 장손 송자호와 열애 &quot;최근 교제…결혼은 아직&quot;[공식]",TV리포트,2019.10.01.,네이버뉴스
20,장성규가 ‘혼후순결’을 지키지 못했다는 소식을 오늘 전했다,위키트리,2019.10.01.,
21,인천지역 전기산업계 이끄는 선·후배 모여 &#39;화합의 장&#39;,기호일보,2019.10.01.,
22,"전기공사협회, 인천전기인 체육대회 &#39;화합 한마당&#39;",경인일보,2019.10.01.,
23,"&#39;미운우리새끼&#39; 언급 쯔양, 먹방 유튜버라고 보기 어려운 여리여리한 미모 눈길",내외뉴스통신,2019.10.02.,
24,4차 산업혁명시대 인천 성공사례 만들자,인천일보,2019.10.02.,
25,"김희철, 남다른 패션 센스 &quot;공항패션이란 이런 것&quot;",경남데일리,2019.10.02.,
26,"[피플&amp;포커스] 김희철 대표, 금융혁신 선도자의 변신… &quot;희만사는 부채 응급실, 더 망가지기 전에 상담하러 오세요&quot;",천지일보,2019.10.02.,
27,"한국 의료관광, &quot;패키지·VIP·동반객 상품 개발해야 경쟁력&quot;",메디파나뉴스,2019.10.02.,
28,"한화그룹, 세대교체 주목…50대 CEO 전면 포진",데이터뉴스,2019.10.02.,
29,"슈퍼주니어 김희철, 공항 패션 공개 &quot;김스가 강제로 입힘. 사진 찍는 거 쑥스럽다&quot;",말산업저널,2019.10.02.,
