集数,时间,收视率
1,8.17.,0.6
2,8.24.,0.7
3,8.31.,0.5
4,9.7.,0.6
5,9.14.,0.6
6,9.21.,0.5
7,9.28.,0.4
8,10.5.,0.5
9,10.12.,0.6
10,10.19.,0.8
11,10.26.,0.6
12,11.2.,0.5
