集数,时间,收视率
1,6.26.,1.1
2,7.03.,1.0
3,7.10.,0.7
4,7.17.,0.9
5,7.31.,0.9
6,8.07.,0.8
7,8.14.,1.0
8,8.21.,1.1
9,8.28.,1.3
10,9.04.,1.6
11,9.11.,1.5
12,9.18.,2.0
