集数,时间,收视率
1,05.19.,1.0
2,05.26.,1.1
3,06.02.,0.7
4,06.09.,0.8
5,06.16.,0.7
6,06.23.,0.6
7,06.30.,1.0
8,07.07.,0.7
9,07.14.,0.8
10,07.21.,0.5
11,07.28.,0.3
12,08.04.,0.8
13,08.11.,0.8
14,08.18.,0.7
15,08.25.,1.1
16,09.01.,0.8
