,title,media,time,host
0,[인사] DGB금융그룹,에너지경제,2019.01.01.,
1,"[인사] DGB금융그룹, 2019년 상반기 부점장급 인사",일요서울,2019.01.01.,
2,"[이슈Q] 이순재부터 방탄소년단(BTS) 뷔·지민, 트와이스 나연까지...&#39;황금돼지해&#39; 맞은 돼지띠 스타들",스포츠Q,2019.01.01.,
3,"2019 기해년 황금돼지해, 돼지띠 스타들 “우리 띠 왔다”",뉴스투데이,2019.01.01.,
4,"1995~1935년생 돼지띠 남녀스타, 누구이고 올해 무엇을 하나",뉴시스,2019.01.01.,네이버뉴스
5,[신년기획] 이순재·이영애·방탄소년단 뷔·지민...2019년 빛낼 돼지띠★들,매일경제,2019.01.01.,네이버뉴스
6,"방탄소년단 뷔·지민, &#39;황금돼지해&#39; 대표 &#39;돼지띠 스타&#39;",스포츠서울,2019.01.01.,네이버뉴스
7,"이영자, 1월 예능 방송인 브랜드평판 1위..박나래 2위⋅전현무 3위",OSEN,2019.01.01.,네이버뉴스
8,"&#39;대상 2관왕&#39; 이영자, 예능인 브랜드 평판 1위...2위 박나래·3위 전현무",엑스포츠뉴스,2019.01.01.,네이버뉴스
9,"[브랜드평판] 예능 방송인 브랜드 2019년 1월 빅데이터 분석결과... 1위 이영자, 2위 박나래, 3위 전현무",미래한국,2019.01.01.,
10,"[브랜드평판] 예능 방송인 브랜드 2019년 1월 빅데이터 분석결과... 1위 이영자, 2위 박나래, 3위 전현무",미래한국,2019.01.01.,
11,"예능 방송인 브랜드평판...1위 이영자, 2위 박나래, 3위 전현무",국제뉴스,2019.01.01.,
12,"[ 예능 방송인 브랜드평판 2019년 1월 빅데이터 ] 1위 이영자, 2위 박나래, 3위 전현무",베타뉴스,2019.01.01.,
13,"95년생 방탄소년단 지민 뷔→35년생 이순재, 황금돼지띠 스타들 누가 있나",뉴스엔,2019.01.01.,네이버뉴스
14,"[ 빅데이터분석 ] 예능 방송인 2019년 1월 브랜드평판... 1위 이영자, 2위 박나래, 3위 전현무",한국농어촌방송,2019.01.01.,
15,"이영자, 1월 예능 방송인 브랜드 평판 1위…‘2위 박나래 3위 전현무’",티브이데일리,2019.01.01.,
16,[POP이슈]&quot;BTS 뷔·지민→이영애·이순재까지&quot;…황금돼지해 &#39;돼지띠 ★&#39; 누구,헤럴드POP,2019.01.01.,네이버뉴스
17,[인사] 대구은행·DGB지주…부점장(급) 승진·이동,매일신문,2019.01.01.,네이버뉴스
18,&#39;황금돼지해&#39; 기해년 빛낼 돼지띠 연예인 누가 있나?,아시아투데이,2019.01.01.,
19,"카이, 디스패치에 두 번이나? &#39;단골 열애설&#39;",국제뉴스,2019.01.01.,
20,"카이, 디스패치에 두 번이나..&#39;이 정도면 악연&#39;",남도일보,2019.01.01.,
21,"[인사] DGB금융그룹, 부점장급",녹색경제신문,2019.01.01.,
