,title,media,time,host
0,"슈퍼주니어 김희철, 여자를 기죽이는 미모 셀카... &quot;역시 우주대스타&quot;",시민일보,2019.04.01.,
1,[인사] 삼성서울병원,쿠키뉴스,2019.04.01.,
2,"삼성서울병원, 보직 교수 정기 인사",의학신문,2019.04.01.,
3,"공유, 3월 남자 광고모델 브랜드 1위 차지..2위 백종원-3위 박보검 ‘관심↑’",브레이크뉴스,2019.04.01.,
4,"[인사] 삼성서울병원, 보직 교수 정기 인사",메디칼업저버,2019.04.01.,
5,"&#39;아는형님&#39; 효민, &quot;걸그룹 있지가 나보고 예쁘다고 해줬다&quot; 자랑",주간한국,2019.04.01.,
6,삼성서울병원 보직 교수 정기 인사,메디파나뉴스,2019.04.01.,
7,[인사종합] 국무조정실·국무총리비서실 외,뉴스1,2019.04.01.,네이버뉴스
8,[인사] 국무조정실·국무총리비서실 외,더리더,2019.04.01.,
9,"삼성서울병원, 보직 교수 정기 인사",코메디닷컴,2019.04.01.,네이버뉴스
10,"삼성서울병원, 보직 교수 정기 인사",코메디닷컴,2019.04.01.,네이버뉴스
11,[인사] 삼성서울병원,아주경제,2019.04.01.,
12,"삼성서울병원, 보직 교수 정기인사",의협신문,2019.04.01.,
13,[인사] 삼성서울병원,메디칼타임즈,2019.04.01.,
14,미래의학연구원 기능 강화한 삼성서울병원,청년의사,2019.04.01.,
15,집행부 견제 잘 하겠다는데 ··· 인천 송도 주민들 &quot;못믿겠다&quot;,내일신문,2019.04.01.,
16,"[★픽] &#39;아는형님&#39; 김세정, &quot;아이오아이 활동 때 인사하던 후배, 구구단 되니 그냥 지나가&quot;",톱스타뉴스,2019.04.01.,
17,"‘국민 여러분!’ 최시원, 커피차에 익살스러운 인증샷...“네네. 감사히 잘 받았습니다”",뉴스컬처,2019.04.01.,
18,"&#39;국민여러분&#39; 최시원, &#39;우주대스타&#39; 김희철에게 받은 커피차 자랑",부산일보,2019.04.01.,네이버뉴스
19,안소희와 친해지려면 &#39;지리우스&#39; 소환해야,녹색경제신문,2019.04.01.,
20,"&#39;안시크&#39; 안소희 웃기기 대작전, 승자는 &#39;지리우스&#39;",뉴스렙,2019.04.02.,
21,아프리카티비 BJ슈기 X 김희철 합동 방송 인증 셀카 화제,뉴스컬처,2019.04.02.,
22,"월화드라마 &#39;국민 여러분&#39; 슈퍼주니어 최시원, 김희철이 보낸 커피차 인증샷 공개…&#39;드라마 속 이유영과의 인물관계도는?&#39;",톱스타뉴스,2019.04.02.,
23,"&#39;국민여러분&#39; 최시원, 재벌샷",넥스트데일리,2019.04.02.,
24,"&#39;국민여러분&#39;, 최시원 표정 무엇?",데일리스포츠한국,2019.04.02.,
25,"[RE:TV] &#39;냉장고를 부탁해&#39; 안소희, 이이경과 &#39;으라차차&#39; 매력 뿜뿜",뉴스1,2019.04.02.,네이버뉴스
26,"이이경, 안소희에 &quot;내가 다음에 방귀 뀔게&quot;(냉부해) [텔리뷰]",스포츠투데이,2019.04.02.,
