,综艺人,认识的哥哥,人生酒馆,Somevival1+1,Super Junior,男团个人品牌,广告男模特
1,37,5,19,,18,,
2,18,4,18,,15,,
3,22,2,16,,24,,44
4,20,4,19,,13,,
5,11,3,17,,4,56,41
6,18,2,26,,7,66,
7,11,2,,47,33,19,39
8,12,2,,50,7,,
9,4,4,,50,11,12,27
10,14,4,,48,6,28,
11,7,2,,50,4,28,
12,31,3,,,14,18,
