,title,media,time,host
0,"&#39;인생술집&#39; 장현성X송영규X송창의X지일주, 서울예대 동문회..우여곡절 연기인생(종합)",헤럴드POP,2019.03.01.,네이버뉴스
1,"&#39;인생술집&#39; 장현성X송창의, 스카이캐슬 작가가 쓴 &#39;신의 저울&#39;에서 만나…송영규는 류승룡 때문에 울었다?",톱스타뉴스,2019.03.01.,
2,"&#39;인생술집&#39; 장현성X송영규X송창의X지일주, 연기만큼 빛난 &#39;입담+케미&#39;(종합)",스포츠서울,2019.03.01.,네이버뉴스
3,"지일주, IQ 156 사실 알려져 눈길…훈훈한 일상도 &#39;화제&#39;",톱스타뉴스,2019.03.01.,
4,"&#39;인생술집&#39; 장현성·송영규·송창의·지일주, 네 남자의 사랑과 연기 인생 [종합]",일간스포츠,2019.03.01.,네이버뉴스
5,"&#39;인생술집&#39; 송영규 &quot;&#39;극한직업&#39; 류승룡, 부러워서 오열&quot;",마이데일리,2019.03.01.,네이버뉴스
6,"&#39;인생술집&#39; 송창의 &quot;동성애자 연기, 백허그하는데 진땀&quot;",마이데일리,2019.03.01.,네이버뉴스
7,"&#39;인생술집&#39; 지일주 &quot;최희서와 격정 멜로, 차 안에서 5시간 촬영&quot;",마이데일리,2019.03.01.,네이버뉴스
8,‘인생술집’ 지일주 “격정멜로 5시간 찍고 어지러웠다” [결정적장면],뉴스엔,2019.03.01.,네이버뉴스
9,"‘인생술집’ 송창의 “수갑차고 연기, 손가락 절단 봉합수술” [결정적장면]",뉴스엔,2019.03.01.,네이버뉴스
10,"‘인생술집’ 송창의 “수갑차고 연기, 손가락 절단 봉합수술” [결정적장면]",뉴스엔,2019.03.01.,네이버뉴스
11,&#39;인생술집&#39; 송영규가 밝힌 #&#39;극한직업&#39; #류승룡 #결혼 비하인드[SS리뷰],스포츠서울,2019.03.01.,네이버뉴스
12,"[어게인TV]&#39;인생술집&#39; 송창의, 나영석PD 캐스팅 거절 &#39;후회&#39;..신동엽 &quot;미쳤구나&quot;",헤럴드POP,2019.03.01.,네이버뉴스
13,[리뷰IS] &#39;인생술집&#39; 장현성·송영규·송창의·지일주의 &quot;이제는 말할 수 있다&quot;,일간스포츠,2019.03.01.,네이버뉴스
