,title,media,time,host
0,[첫방D-day]&#39;작업실&#39; 신동엽·김희철이 엿보는 남태현♥장재인의 리얼 연애..기대감↑,헤럴드POP,2019.05.01.,네이버뉴스
1,"영등위, 2019 분야별 소위원회 위원 및 전문위원 36명 위촉",일요신문,2019.05.01.,
2,"영상물등급위원회, 분야별 소위원회 위원 및 전문위원 36명 위촉",머니S,2019.05.01.,네이버뉴스
3,"영상물등급위원회, 소위원회 위원·전문위원 36명 위촉",일간리더스경제,2019.05.01.,
4,"‘작업실’ 신동엽 “가장 리얼한 연애 프로그램, 고마울 정도”",뉴스엔,2019.05.01.,네이버뉴스
5,"&#39;작업실&#39; 오늘(1일) 첫방, 열명의 청춘남녀 뮤지션들의 &#39;첫만남&#39;",스포츠조선,2019.05.01.,네이버뉴스
6,"오늘(1일) 첫방 &#39;작업실&#39;, 진짜 리얼한 뮤지션들의 로맨스가 온다 [포인트:컷]",엑스포츠뉴스,2019.05.01.,네이버뉴스
7,"남태현♥장재인 커플 탄생 시킨 &#39;작업실&#39;, 오늘(1일) 첫방 &quot;가장 리얼한 연애 프로&quot;",텐아시아,2019.05.01.,네이버뉴스
8,[DA:클립] ‘작업실’ 열 명의 청춘남녀 뮤지션들의 첫 만남 포착,스포츠동아,2019.05.01.,네이버뉴스
9,"&#39;작업실&#39;, 오늘 첫방…신동엽 &quot;지금까지 연애 프로 중 가장 리얼&quot;",헤럴드POP,2019.05.01.,네이버뉴스
10,"&#39;작업실&#39;, 오늘 첫방…신동엽 &quot;지금까지 연애 프로 중 가장 리얼&quot;",헤럴드POP,2019.05.01.,네이버뉴스
11,"오늘(1일) 첫방 ‘작업실’, 장재인♥남태현 솔직 감정 어떨까",한국일보,2019.05.01.,네이버뉴스
12,"‘작업실’ 장재인♥남태현, 어떻게 커플 됐나…첫방 관전포인트 공개",TV리포트,2019.05.01.,네이버뉴스
13,"&#39;작업실&#39; 오늘 첫방, 남태현♥장재인 리얼 ♥ 담긴 관전 포인트",OSEN,2019.05.01.,네이버뉴스
14,"&#39;작업실&#39; D-Day 신동엽, &quot;지금까지의 연애 프로그램 중 가장 리얼&quot;",마이데일리,2019.05.01.,네이버뉴스
15,"&quot;진짜 리얼하다&quot;…남태현♥장재인의 &#39;작업실&#39;, 오늘(1일) 첫방",더셀럽,2019.05.01.,
16,"첫 방송 &#39;작업실&#39;, 관전포인트 둘 #음악 작업 #직진 로맨스",스포츠서울,2019.05.01.,네이버뉴스
17,&#39;작업실&#39; 열 명의 청춘남녀 뮤지션들의 첫 만남,스타데일리뉴스,2019.05.01.,
18,&#39;작업실&#39; 첫방…신동엽 &quot;연애 프로그램 중 가장 리얼&quot;,스포츠투데이,2019.05.01.,
19,&#39;작업실&#39; 열 명의 청춘남녀 뮤지션들의 첫 만남…신동엽 &quot;보는 내내 진짜 리얼하다고 느끼실 것&quot;,전북일보,2019.05.01.,
20,"‘작업실’ 관전 포인트 역시 장재인-남태현, 첫 만남부터 직진 로맨스",국제신문,2019.05.01.,
21,"[N컷] &#39;작업실&#39; 오늘 첫방송, 실제 커플 탄생한 음악+연애 예능 어떨까",뉴스1,2019.05.01.,네이버뉴스
22,"‘작업실’ 첫방, 첫 만남부터 심쿵하는 직진 로맨스",매일경제TV,2019.05.01.,
23,"“진짜 리얼”…‘작업실’, 신동엽도 자신한 청춘 뮤지션들의 로맨스 [M+미리보기]",MBN,2019.05.01.,네이버뉴스
24,"[친절한 프리뷰] &#39;작업실&#39; 신동엽 &quot;연애 프로그램 중 가장 리얼, 보는 내내 느끼실 것&quot;",아시아투데이,2019.05.01.,
25,고막·가슴 설레는 시간!..tvN &#39;작업실&#39; 뮤지션들의 리얼 로맨스,한국정경신문,2019.05.01.,
26,"&#39;작업실&#39; 첫방, 남태현♥장재인·스텔라장·빅원·고성민 등 10人 뮤지션 &#39;직진 고맨스&#39;",중부일보,2019.05.01.,
27,"[종합] &#39;작업실-첫방&#39; 장재인X남태현, 설렘가득 작업식 만남…20대 뮤지션 속에 스텔라장-빅원-아이디 달콤한 작업 이뤄질까?",톱스타뉴스,2019.05.02.,
28,‘작업실’ 장재인 남태현 커플 탄생시킨 예능 설렘 가득 첫 방,국제신문,2019.05.02.,
29,"&#39;작업실&#39; MC 김희철 &quot;빅원, 남녀 모두에게 인기 많을 것 같아&quot;",엑스포츠뉴스,2019.05.02.,네이버뉴스
30,"[종합] ‘작업실’ 첫방송, 열 명의 청춘남녀 썸타기 시작.. 최낙타·아이디 ‘호감’",매일경제,2019.05.02.,네이버뉴스
31,&#39;작업실&#39; 최낙타♥→아이디·남태현♥→고성민…로맨스 포문 열었다 (ft. 빅원) [종합],마이데일리,2019.05.02.,네이버뉴스
32,&quot;승기하수처리장 지하화 사업 필요&quot;,인천일보,2019.05.02.,
33,강원 산불 한 달 만에 성금 470억 모금,국민일보,2019.05.02.,네이버뉴스
34,"작업실 김희철 “아이디 보호본능 자극 외모에 털털, 내 스타일”[결정적장면]",뉴스엔,2019.05.02.,네이버뉴스
35,"[‘작업실’ 첫방] 뮤지션 버전 썸 예능, 어디서 ‘하트시그널’ 냄새 안나요?",매일경제,2019.05.02.,네이버뉴스
36,"[첫방]&#39;작업실&#39; 청춘 남녀 뮤지션 10人, 첫 만남→삼각관계 형성..흥미진진 뮤직썸 시작",헤럴드POP,2019.05.02.,네이버뉴스
37,첫방 &#39;작업실&#39; 청춘 남녀 뮤지션들 첫 만남..리얼한 음악+썸으로 설렘 선사,헤럴드POP,2019.05.02.,네이버뉴스
38,첫방 &#39;작업실&#39; 청춘남녀 뮤지션의 설레는 첫 만남 &#39;리얼 음악+썸&#39;&#39;,엑스포츠뉴스,2019.05.02.,네이버뉴스
39,최낙타·아이디 서로 향한 호감 드러내..tvN &#39;작업실&#39; 첫 방송 설렘 폭발,한국정경신문,2019.05.02.,
40,"&#39;작업실&#39; 장재인♥남태현, 리얼커플의 첫 시작은? 최낙타-아이디 &#39;묘한기류&#39;",싱글리스트,2019.05.02.,
41,"&#39;작업실&#39; 최낙타·아이디, 벌써 썸 시작? 첫방송부터 &#39;설렘 폭발&#39;",enews24,2019.05.02.,네이버뉴스
42,"&#39;작업실&#39; 첫 방송부터 설렘 폭발…아이디♥최낙타, 핑크빛 기류",스포츠조선,2019.05.02.,네이버뉴스
43,"첫방 ‘작업실’, 아이디·최낙타→장재인·남태현 첫 만남 ‘설렘 가득’",MK스포츠,2019.05.02.,네이버뉴스
44,"첫방 ‘작업실’ 최낙타X아이디, 벌써 핑크빛…남태현♥장재인 커플 이을까 [콕TV]",TV리포트,2019.05.02.,네이버뉴스
45,"첫방 &#39;작업실&#39;, 청춘남녀 뮤지션들의 첫 만남…리얼한 음악+썸 담아냈다",한국경제,2019.05.02.,네이버뉴스
46,"‘작업실’ 남태현→장재인 리얼 음악썸, 첫방부터 설렘 자극",뉴스엔,2019.05.02.,네이버뉴스
47,"‘작업실’ 장재인♥남태현→고성민, 청춘들의 설레는 첫 만남 [M+TV인사이드]",MBN,2019.05.02.,네이버뉴스
48,"&#39;작업실&#39; 장재인·남태현→아이디·최낙타, 설레는 첫 만남…리얼 썸 시작",뉴스1,2019.05.02.,네이버뉴스
49,"[SC리뷰] &quot;하얗고 마른 사람 좋아&quot;…`작업실` 장재인♥남태현, 썸의 시작",스포츠조선,2019.05.02.,네이버뉴스
50,"남태현♥장재인, 첫 만남부터 공감…궁금한 진짜 로맨스 [리폿@작업실]",TV리포트,2019.05.02.,네이버뉴스
51,[첫방 어땠어?] &#39;작업실&#39; 장재인♥남태현 커플 탄생 배경은?…설레는 시작,아시아투데이,2019.05.02.,
52,"&#39;작업실&#39;, 첫방부터 설렘폭발…남태현♥장재인 &#39;공감&#39;·최낙타♥아이디 &#39;썸&#39;[SS리뷰]",스포츠서울,2019.05.02.,네이버뉴스
53,"&#39;작업실&#39; 최낙타·아이디, 서로를 향한 핑크빛 마음 드러내 &#39;설렘 자극&#39;",한스경제,2019.05.02.,
54,&#39;작업실&#39; 남태현 이상형=♥장재인일까..첫 만남부터 설렘 폭발 [Oh!쎈 레터],OSEN,2019.05.02.,네이버뉴스
55,"&#39;작업실&#39; 첫방, 청춘남녀 뮤지션들의 첫 만남! 리얼한 음악+썸 담아내며 설렘 선사",전북일보,2019.05.02.,
56,"&#39;작업실&#39; PD, 첫방 소감 &quot;지금까지 서막, 사랑+우정 본격 시작&quot;",스포츠투데이,2019.05.02.,
57,"&#39;아는 형님&#39; 김희철, 아이즈원 조유리와 투샷 공개…&#39;아이돌학교&#39; 사제의 재회",톱스타뉴스,2019.05.02.,
58,"“최고의 학생” 김희철, 아이돌학교→아이즈원 조유리 응원[SNS★컷]",뉴스엔,2019.05.02.,네이버뉴스
59,“면담신청서 꺼내봤다” 방송서 제자 만난 김희철이 SNS에 남긴 장문의 글,위키트리,2019.05.02.,
60,‘작업실’ 10명 뮤지션들이 만들어가는 리얼리티 ‘두번째 커플 탄생하나’,국제신문,2019.05.02.,
61,"김희철, 틈틈이 &#39;아이돌 학교&#39; 제자들을 검색하는 이유 [★해시태그]",엑스포츠뉴스,2019.05.02.,네이버뉴스
62,"전유성 지리산 집, 시청자들 놀라게 해",광명지역신문,2019.05.02.,
63,&#39;작업실&#39;서 작업하면 남태현-장재인처럼 커플되나?,비즈엔터,2019.05.02.,
64,"tvN &#39;작업실&#39; 남태현♥장재인, 첫방부터 설레임 가득…아이디♥최낙타도 핑크빛?",중부일보,2019.05.02.,
65,"&#39;작업실&#39; 첫 방, 청춘 뮤지션 10人 모였다…설레는 첫 만남",머니투데이,2019.05.02.,네이버뉴스
66,"[HD포토] 김희철, &#39;김희철이라서 소화 가능한 패션&#39; (작업실)",톱스타뉴스,2019.05.02.,
67,"[HD포토] 김희철, &#39;시크한 우주대스타&#39; (작업실)",톱스타뉴스,2019.05.02.,
68,"[UHD포토] 신동엽-제아-주이-김희철, &#39;MC군단&#39; (작업실)",톱스타뉴스,2019.05.02.,
69,"[UHD포토] 작업실 출연진, &#39;열 명의 청춘 남녀 뮤지션들의 이야기를 담은 리얼리티 프로그램 &#39; (작업실)",톱스타뉴스,2019.05.02.,
70,"[UHD포토] 작업실 출연진, &#39;열 명의 청춘 남녀 뮤지션들의 이야기를 담은 리얼리티 프로그램 &#39; (작업실)",톱스타뉴스,2019.05.02.,
71,"[UHD포토] 작업실 출연진, &#39;열 명의 청춘 남녀 뮤지션들&#39; (작업실)",톱스타뉴스,2019.05.02.,
72,"[리붓] &#39;남태현과 열애&#39; 장재인, &#39;작업실&#39; 첫 방송 후 인스타그램 업데이트 &#39;다이어트로 완성된 외모&#39;",톱스타뉴스,2019.05.03.,
73,"&#39;작업실&#39; 고성민, 스물 두살 러블리한 막내 매력 VS 차희, 나이 스물 넷, 멜로디데이 출신 &#39;바비인형&#39;급 한줌 몸매!",경남데일리,2019.05.03.,
74,"&#39;같이할래GG&#39; 신동 &quot;방탄소년단 뷔·정국 게임 잘해, 초대했으면&quot;",마이데일리,2019.05.03.,네이버뉴스
75,[N현장] &#39;같이할래?&#39;GG&#39; 신동 &quot;게임 잘하는 ★? 김희철·이민호·BTS 뷔·정국·박형식&quot;,뉴스1,2019.05.03.,네이버뉴스
76,"&#39;같이할래?&#39; 신동 &quot;게임 고수 이민호, BTS 뷔·정국 초대하고파&quot;",조이뉴스24,2019.05.03.,
77,"[Y현장] &#39;같이 할래? GG&#39; 김소혜 &quot;불타는 승부욕, 게임에 쏟는다&quot; (종합)",YTN,2019.05.03.,네이버뉴스
78,&#39;같이할래?GG&#39; 게임고수 ★들의 도장깨기…이민호·BTS 뷔 정국 소환할까 [종합],TV리포트,2019.05.03.,네이버뉴스
79,"[N현장] &#39;같이할래?GG&#39; 이용진→김소혜, 연예계 &#39;게임짱&#39;들의 학교 습격(종합)",뉴스1,2019.05.03.,네이버뉴스
80,"[현장] &#39;같이 할래? GG&#39;, &#39;&#39;방탄소년단 뷔&amp;정국-NCT-박형식-더보이즈 현재 모셨으면&#39;&#39;",톱스타뉴스,2019.05.03.,
81,&#39;같이 할래? GG&#39; 신동 &quot;방탄소년단 뷔와 정국의 오버워치 대결 보고파&quot;,텐아시아,2019.05.03.,네이버뉴스
